34.2698  0.113131
33.7724  0.0124299
51.1886  0.400016
33.9496  0.379695
33.9088  0.415079
300	0.435311
37.9621  0.438755
44.8914  0.0698934
300	0.436745
300	0.390155
35.9538  0.0370844
34.221  0.240361
44.4425  0.454405
34.1165  0.245877
300	0.39179
36.5711  0.401427
300	0.338624
300	0.494546
36.1294	0.31099
44.7065  0.0231481
300	-0.021564
300	0.221802
47.0028  0.285296
300	0.285276
43.0493  0.415666
34.3083  0.311638
60.9723  0.453667
38.9184  0.273806
33.9697  0.433696
300	0.121092
39.3597  0.434721
36.772  0.102735
55.4326  0.498436
300	0.257249
33.9778  0.478168
53.1088  0.400643
33.7824  0.43874
36.0231  0.461883
300	0.392961
60.9037  0.451263
35.2715  0.266083
300	0.416803
34.7409  0.447911
39.7686  0.340032
300	0.097527
34.9061  0.428948
44.1363  0.244005
300	0.0330972
39.6621  0.0796551
37.5859  0.40006
34.2854  0.0553984
300	0.464086
34.3751  0.399312
300	0.360374
300	0.43615
36.3666  0.45845
34.9937  0.360016
300	0.212915
52.208  0.398246
33.8386  0.174784
35.5126  0.180999
37.7508  0.233243
34.7054  0.394014
47.3186  0.491148
300	0.46877
39.4992  0.0634744
300	0.498649
34.5171  0.442644
51.0974  0.267026
55.2623  0.291598
26.2276  0.209768
300	0.419419
58.0214  0.368584
300	0.492296
34.526  0.0537973
16.5325  0.324365
40.957  0.46998
49.565  -0.184729
300	0.315809
34.3972  0.493644
300	-0.00612942
33.7822  0.456022
300	0.454352
36.7129  0.434934
42.5041  0.39914
300	0.457301
300	0.447529
37.0333  0.355754
300	0.221938
40.0132  -0.445718
33.8664  0.167006
33.7816  0.195995
58.811  0.300966
300	-0.416796
300	0.220134
300	0.469364
35.0987  0.484541
40.3715  0.46132
24.0176	0.436802
35.0286	0.265964
300	0.477727
300	0.441842
300	0.466226
39.8451  0.432977
33.9483  -0.0915633
33.7911  0.499391
300	0.274314
300	0.424559
300	0.254348
40.8509  0.311845
33.8942  0.48158
38.018  0.470518
33.8587  0.239811
41.3332  0.485444
300	-0.281908
300	0.459646
35.3064  0.453622
300	0.184425
34.2909  0.489516
34.1028  0.309915
35.0736  0.433378
40.9901  0.047927
36.3982  0.402557
42.1117  0.287014
36.8143  0.225548
47.0043  0.478372
300	0.362175
49.2366  0.232951
300	0.23963
39.9511  0.177638
37.1285  0.369265
37.6784  0.452675
37.8575  0.483127
38.4408  0.00105244
43.5288  0.31072
48.7576  0.436374
300	0.436806
14.6927  0.432473
300	0.480155
40.3511  0.447512
34.5529  0.332285
34.0312  0.185369
300	0.491008
38.1111  -0.21125
48.6076  0.281115
36.524  0.0305848
300	0.244578
300	0.499125
34.169  0.450449
38.3045  0.413815
300	0.410842
33.7826  0.441123
35.3846  -0.0201307
33.8205  0.384392
34.6565  0.442859
48.9196  0.3715
300	0.468314
35.5733  0.0934821
52.2906  -0.184372
33.8454  -0.0891859
41.2993  0.076007
37.5384  0.425593
45.9474  0.391033
300	0.339683
300	-0.235117
50.352  0.401026
37.4135  0.471513
34.4326  0.450367
300	0.462755
300	0.415603
300	0.499114
300	0.339315
34.4894  0.399515
36.4011  0.482692
300	-0.0589439
35.0669  0.404394
35.797  0.354252
35.6019  0.167099
53.4533  0.335355
300	0.355662
34.0506  0.273644
300	0.456238
300	0.353157
40.2493  0.443598
36.1062  0.42041
41.1926  0.307927
33.8892  0.218015
37.7773  0.459957
56.9898  0.187896
33.8645  -0.294941
300	0.0816406
300	0.492442
52.4376  0.0689753
300	0.478581
34.98  0.0616806
39.4311  0.468359
40.0957  0.138079
300	0.352326
35.7829  0.278212
34.0789  0.270854
300	-0.167771
15.0045  0.450602
37.7243  0.224218
300	0.208054
300	0.392682
43.1101  0.220743
39.6974  0.430536
300	0.498323
33.8135  0.281515
33.7788  0.177409
22.6684  0.387627
300	0.187132
300	0.203896
33.8248  0.434301
300	0.382415
48.2971  0.0116019
300	0.323243
35.3557  0.388802
39.4167  0.464649
300	0.472793
300	0.423658
300	0.426649
41.1016  0.0320259
35.7418  0.406491
300	0.424922
300	0.350986
300	0.489188
48.0565  0.297514
37.1103  0.450824
34.9445  0.435959
34.9766  0.270831
300	0.373671
39.4979  0.092188
300	0.333332
300	0.481402
300	0.425367
300	0.34935
51.0923  0.41805
300	0.377125
36.1712  0.489276
38.6934  0.294728
57.4821  -0.204914
47.7639  0.44005
